pair,year_season,BC,area_overlap_m2,foi_cor,foi_space,num_contacts,num_locs
"(np.int64(151562), np.int64(151608))",2024_Fawning,0.03789590810820301,40286.146424531726,-6.924407179371249e-08,4.11460074141572e-08,0,8784
"(np.int64(151562), np.int64(151608))",2024_Gestation,0.27152138804460424,2509958.9335702653,9.073858229952908e-08,2.6545995044216483e-07,14,14921
"(np.int64(151562), np.int64(155128))",2024_Gestation,0.48608129794820143,2322126.230132271,2.8774053204327504e-06,9.620085549118705e-07,27,3948
"(np.int64(151562), np.int64(155139))",2024_Gestation,0.016625342105565398,181249.99751855157,-1.582454806536519e-08,8.124231266853311e-09,0,15017
"(np.int64(151562), np.int64(155148))",2024_Fawning,0.03207185413941174,509411.13371491205,-5.4068276052307944e-08,4.508495850369174e-08,0,8784
"(np.int64(151562), np.int64(155148))",2024_Gestation,0.13041087270725468,1705757.3767565163,-9.082361100791212e-08,7.510575204993264e-08,0,15491
"(np.int64(151562), np.int64(155148))",2024_Lactation,0.009860110713529964,20498.416425529624,-4.4257593584494573e-08,1.5970864803918796e-08,0,3256
"(np.int64(151562), np.int64(155166))",2024_Gestation,0.008347199498378434,1325214.5694136187,-1.0770039805713655e-08,1.9879716549923702e-09,0,15164
"(np.int64(151562), np.int64(155167))",2024_Gestation,0.039884798436142135,2201282.1833440154,-1.453503851355815e-09,1.4049998946086817e-10,0,14789
"(np.int64(151564), np.int64(151575))",2023_Gestation,0.7832412424459747,775497.6886581365,-1.3972283575558285e-06,4.722342253639341e-06,24,4930
"(np.int64(151564), np.int64(151592))",2023_Gestation,0.012805924420119658,18318.868018253375,,,0,4930
"(np.int64(151564), np.int64(151599))",2023_Gestation,0.6393812098910949,938968.0238987353,-2.5960254195549046e-07,1.4118500186153404e-06,21,4930
"(np.int64(151565), np.int64(151583))",2023_Rut,0.008070025716178281,440223.77669240243,-3.09891071249887e-09,1.009498000972419e-09,0,13248
"(np.int64(151565), np.int64(151583))",2024_Gestation,0.00951219020208564,118584.40847347851,-3.4182563608458712e-09,7.515729120109503e-10,0,17424
"(np.int64(151565), np.int64(151597))",2023_Fawning,0.028554332537399023,132817.51723723806,-6.878493729969789e-08,3.600234512195612e-08,0,4405
"(np.int64(151565), np.int64(151597))",2023_Gestation,0.35870229032092527,845752.7093793473,-2.89218254547554e-07,5.537976999845073e-07,4,6779
